swizzle,swizzle_n_maj,denoise_dtype,skip_denoising,pipeline_stages,median_ms,mean_ms,min_ms,max_ms,tops
64,True,int32,True,1,11.33080005645752,11.496614360809327,9.350591659545898,13.622655868530273,36.389033286402146
64,True,int32,True,2,10.596992015838623,11.329214429855346,9.666784286499023,13.58569622039795,38.908858268434784
64,False,fp16,False,,10.8854398727417,11.388260841369629,9.356191635131836,14.02064037322998,37.87783178596993
64,False,fp16,False,1,10.583616256713867,11.231564712524413,9.467391967773438,14.111807823181152,38.95803196326595
64,False,fp16,False,2,11.256928443908691,12.364830446243285,10.773664474487305,14.680543899536133,36.627829915638436
64,False,fp16,True,,11.258831977844238,11.977868747711181,10.848959922790527,14.434847831726074,36.62163723798173
64,False,fp16,True,1,11.225696086883545,11.753508853912354,10.80675220489502,14.474720001220703,36.72973659938682
64,False,fp16,True,2,12.228511810302734,12.155212831497192,10.694751739501953,13.968095779418945,33.71766465226094
64,False,int32,False,,10.95699167251587,11.571793603897095,9.608192443847656,14.060288429260254,37.63048040368973
64,False,int32,False,1,10.605999946594238,11.084180784225463,9.443807601928711,13.611776351928711,38.87581203961836
64,False,int32,False,2,10.819375991821289,11.123307275772095,9.467840194702148,13.426336288452148,38.10911652646912
64,False,int32,True,,10.236464023590088,11.026931285858154,9.716896057128906,13.246687889099121,40.279227227860076
64,False,int32,True,1,10.332543849945068,11.245655822753907,9.448415756225586,13.323871612548828,39.90468043532107
64,False,int32,True,2,10.52132797241211,11.390183973312379,9.58176040649414,13.283967971801758,39.18867100209524
128,True,fp16,False,,11.23310375213623,11.693873500823974,10.240991592407227,13.671775817871094,36.70551519098971
128,True,fp16,False,1,11.441376209259033,12.043276834487916,9.795455932617188,14.67465591430664,36.03734838142364
128,True,fp16,False,2,11.17131233215332,11.406801652908324,9.589759826660156,13.637632369995117,36.908542896009436
128,True,fp16,True,,10.776895999908447,11.393067121505737,9.6561918258667,13.604479789733887,38.2593337097716
128,True,fp16,True,1,11.219344139099121,11.579758358001708,9.853216171264648,13.62720012664795,36.75053151984942
128,True,fp16,True,2,10.710160255432129,11.446862316131591,9.58672046661377,13.860799789428711,38.49773024702178
128,True,int32,False,,10.816128253936768,11.295284843444824,9.60598373413086,13.457568168640137,38.12055947708721
128,True,int32,False,1,12.026607990264893,11.856254434585571,9.418527603149414,13.804351806640625,34.28371996075333
128,True,int32,False,2,10.793007850646973,11.619876718521118,9.430272102355957,14.013983726501465,38.202220004063484
128,True,int32,True,,11.233232021331787,11.66091685295105,9.786975860595703,14.074687957763672,36.705096060778835
128,True,int32,True,1,10.945600032806396,11.673019170761108,9.327296257019043,13.792256355285645,37.66964434843177
128,True,int32,True,2,10.603903770446777,11.264991998672485,9.73465633392334,13.605024337768555,38.88349699712785
128,False,fp16,False,,10.955711841583252,11.474883270263671,10.105376243591309,13.682656288146973,37.63487634377343
128,False,fp16,False,1,19.144944190979004,17.260388946533205,9.409279823303223,21.964128494262695,21.536592444614254
128,False,fp16,False,2,19.321743965148926,19.56370096206665,17.162464141845703,22.64240074157715,21.339526140068177
128,False,fp16,True,,19.222479820251465,18.358515357971193,12.707776069641113,21.856992721557617,21.449722630563603
128,False,fp16,True,1,19.3089599609375,18.9607150554657,12.454272270202637,22.088319778442383,21.353654533963876
128,False,fp16,True,2,19.212224006652832,19.0011549949646,16.59756851196289,21.66556739807129,21.46117285917666
128,False,int32,False,,19.19875144958496,18.512940692901612,14.758879661560059,21.721696853637695,21.47623305081714
128,False,int32,False,1,19.316399574279785,19.000257587432863,12.242431640625,24.496864318847656,21.34543028220482
128,False,int32,False,2,17.398639678955078,17.76068811416626,14.551360130310059,24.04102325439453,23.698224000507768
128,False,int32,True,,21.409135818481445,22.135591888427733,17.06867218017578,29.283935546875,19.258921233993355
128,False,int32,True,1,23.385295867919922,24.730550289154053,19.945215225219727,29.761184692382812,17.63145793599381
128,False,int32,True,2,20.005359649658203,20.1503821849823,13.54428768157959,29.878623962402344,20.610319816122104
